Region,Sector,Year,Employment,Investment,Growth Rate (%),Exports,Environmental Impact,Revenue
Kakinada,Energy,2020,39158,156,14.49227500681923,30,High,243.607949
Guntur,Energy,2017,,393,15.811066020010543,303,Medium,353.1374894586414
Visakhapatnam,Agriculture,2022,26658,560,-6.512653484,485,High,252.52914049128586
Visakhapatnam,Agriculture,2017,4556,,7.007688464694493,338,High,433.8267358735482
Vijayawada,Energy,2022,24483,504,10.249916444565523,273,High,185.65957888061024
Vijayawada,Healthcare,2015,41757,526,19.239615694113965,227,Medium,402.2003785510394
Kakinada,Manufacturing,2021,25253,345,16.113346216953786,246,Medium,1033.5910444484905
Nellore,Energy,2022,49984,888,5.585037017659241,138,High,287.5951287168141
Vijayawada,Technology,2018,39952,77,16.577585646889837,337,Medium,144.76474094810519
Kakinada,Agriculture,2016,43530,788,-7.010143852,471,High,812.7600664498455
Vijayawada,Technology,2022,24419,510,0.042980058,361,High,340.2191983
Nellore,Agriculture,2020,34827,574,-8.075502254,196,High,138.6466170604318
Kakinada,Healthcare,2018,47699,605,5.412748696759156,455,High,771.7471296153929
Visakhapatnam,Manufacturing,2014,2306,682,15.450369148062329,242,High,563.3715175897851
Guntur,Technology,2014,1663,,3.0800733005188814,105,Low,817.9814421125454
Vijayawada,Agriculture,2020,,662,-2.878987641,90,High,192.9411018194709
Visakhapatnam,Agriculture,2014,47717,179,3.2733645829284104,227,Medium,520.8593226034419
Nellore,Healthcare,2014,41545,247,4.970611061113827,249,Low,312.27740932095116
Kakinada,Agriculture,2017,48011,452,7.778738310950445,156,High,954.1598972
Visakhapatnam,Agriculture,2021,9155,522,-4.773209482,424,Medium,372.08384650627164
Kakinada,Healthcare,2022,46936,51,19.90634249394811,263,Low,146.15223467191353
Guntur,Healthcare,2016,7295,103,14.496888646440595,417,High,738.9317953058338
Visakhapatnam,Agriculture,2016,3200,910,-2.901975632,375,Medium,778.5920217527735
Kakinada,Manufacturing,2014,26876,865,13.662285127950604,393,High,412.1787663567727
Nellore,Agriculture,2016,11677,825,5.778465649931572,235,Low,944.6723416119355
