trip_distance,rate_code,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount,pickup_location_id,dropoff_location_id,hour_of_day,trip_duration
5.3,1,1,23.5,0.5,0.5,4.95,0.0,0.3,29.75,249,263,0,968.0
6.77,1,1,25.0,0.5,0.5,2.5,0.0,0.3,28.8,179,238,0,2439.0
8.3,1,1,26.0,0.5,0.5,6.8,0.0,0.3,34.1,264,264,1,1880.0
9.34,1,1,29.0,0.5,0.5,25.0,0.0,0.3,55.3,79,257,1,89.0
10.5,1,1,33.0,0.5,0.5,6.85,0.0,0.3,41.15,170,243,1,1136.0
9.7,1,1,30.5,0.5,0.5,7.95,0.0,0.3,39.75,224,244,1,1437.0
6.8,1,1,23.5,0.5,0.5,4.95,0.0,0.3,29.75,50,80,2,1856.0
8.8,1,1,26.0,0.5,0.5,5.46,0.0,0.3,32.76,48,127,2,1120.0
23.04,1,1,63.0,0.5,0.5,12.86,0.0,0.3,77.16,83,56,2,1059.0
13.05,1,1,39.0,0.5,0.5,11.52,5.76,0.3,57.58,80,116,2,2002.0
0.3,1,1,3.0,0.5,0.5,0.43,0.0,0.3,4.73,107,107,2,1080.0
8.5,1,1,25.0,0.5,0.5,7.85,0.0,0.3,34.15,132,63,3,1589.0
7.9,1,1,26.0,0.5,0.5,5.45,0.0,0.3,32.75,231,236,4,1920.0
8.2,1,1,27.5,0.5,0.5,5.75,0.0,0.3,34.55,249,223,4,1396.0
7.8,1,1,24.0,0.5,0.5,4.0,0.0,0.3,29.3,164,116,5,1166.0
9.6,1,1,27.0,0.0,0.5,10.05,5.76,0.3,43.61,164,138,6,1563.0
10.48,1,1,37.0,0.0,0.5,20.0,0.0,0.3,57.8,264,264,7,1302.0
7.9,1,1,24.0,0.0,0.5,6.2,0.0,0.3,31.0,7,114,10,1706.0
9.0,1,1,26.0,0.0,0.5,4.0,5.76,0.3,36.56,138,234,11,1209.0
13.71,1,1,39.0,0.0,0.5,11.39,5.76,0.3,56.95,163,138,11,1626.0
