Age,Gender,Time_Spent,Product_Category,Purchased,Number_of_Items_Viewed,Device_Used
24,Male,11,Books,1,1,Tablet
56,Male,9,Books,0,7,Desktop
38,Male,6,Electronics,0,7,Tablet
26,Male,39,Electronics,1,4,Tablet
29,Female,16,Books,1,5,Tablet
32,Male,30,Clothing,1,2,Mobile
30,Male,23,Clothing,0,1,Mobile
35,Male,49,Clothing,0,3,Mobile
21,Male,26,Electronics,1,13,Mobile
63,Male,10,Electronics,0,11,Tablet
27,Female,37,Electronics,1,19,Desktop
39,Male,6,Clothing,1,15,Desktop
29,Female,7,Electronics,1,10,Mobile
42,Male,44,Books,0,16,Desktop
52,Female,28,Clothing,1,11,Tablet
20,Male,30,Electronics,1,17,Desktop
56,Male,14,Books,1,6,Mobile
59,Male,49,Books,0,12,Tablet
62,Female,36,Clothing,1,9,Tablet
48,Male,24,Books,0,6,Mobile
52,Female,42,Clothing,0,12,Tablet
33,Male,47,Clothing,0,13,Mobile
23,Male,31,Clothing,0,1,Desktop
23,Male,35,Clothing,1,6,Tablet
56,Male,19,Books,1,4,Desktop
19,Female,15,Clothing,0,5,Desktop
27,Female,47,Clothing,0,15,Desktop
62,Male,12,Books,0,16,Desktop
29,Female,44,Electronics,0,4,Desktop
21,Female,32,Books,0,16,Tablet
61,Female,45,Books,0,7,Tablet
44,Female,14,Electronics,0,12,Desktop
30,Female,45,Clothing,1,11,Tablet
51,Male,40,Books,0,15,Mobile
37,Female,13,Electronics,0,1,Mobile
35,Male,28,Electronics,1,2,Desktop
49,Male,43,Books,0,10,Mobile
33,Female,49,Books,1,2,Tablet
27,Male,30,Electronics,1,2,Desktop
32,Male,46,Clothing,1,12,Desktop
55,Female,20,Books,0,9,Tablet
49,Male,40,Books,1,2,Mobile
31,Male,14,Electronics,0,4,Desktop
63,Male,27,Books,1,2,Tablet
50,Male,44,Books,0,17,Mobile
38,Male,11,Clothing,0,7,Mobile
45,Female,48,Electronics,1,2,Desktop
61,Male,9,Electronics,1,18,Mobile
39,Female,5,Books,1,17,Desktop
28,Male,5,Books,0,2,Desktop
32,Female,19,Clothing,1,11,Desktop
35,Male,27,Books,0,10,Mobile
44,Male,47,Clothing,1,5,Mobile
28,Female,48,Books,1,4,Tablet
53,Male,32,Clothing,0,3,Mobile
45,Female,41,Books,0,12,Desktop
25,Male,13,Electronics,1,5,Tablet
34,Male,31,Clothing,0,16,Desktop
23,Male,10,Clothing,0,3,Desktop
57,Male,13,Books,1,10,Tablet
44,Male,23,Clothing,0,18,Tablet
45,Female,13,Books,0,13,Mobile
52,Female,46,Books,0,14,Mobile
21,Female,8,Clothing,1,18,Tablet
60,Male,16,Electronics,1,11,Tablet
43,Male,10,Electronics,0,1,Desktop
46,Female,12,Books,1,7,Mobile
62,Male,18,Electronics,0,10,Tablet
21,Female,30,Electronics,1,15,Desktop
59,Male,43,Electronics,1,8,Tablet
48,Female,38,Clothing,0,1,Tablet
20,Male,13,Clothing,1,17,Tablet
21,Male,10,Electronics,1,14,Desktop
58,Female,15,Electronics,0,15,Mobile
44,Female,15,Books,0,5,Mobile
39,Female,15,Electronics,0,3,Mobile
64,Female,32,Books,0,8,Desktop
22,Female,24,Books,1,9,Desktop
62,Male,27,Electronics,1,2,Tablet
54,Female,26,Electronics,1,16,Desktop
20,Female,23,Books,0,14,Mobile
30,Female,43,Clothing,0,19,Mobile
37,Female,10,Electronics,1,9,Desktop
40,Male,10,Clothing,0,5,Mobile
62,Female,19,Electronics,1,19,Tablet
64,Male,37,Clothing,1,18,Mobile
30,Female,47,Clothing,0,11,Tablet
50,Female,26,Electronics,1,13,Mobile
48,Male,6,Books,1,12,Mobile
36,Female,19,Electronics,0,6,Mobile
46,Female,12,Clothing,1,9,Mobile
20,Female,23,Books,0,14,Desktop
36,Male,42,Clothing,0,16,Mobile
39,Female,49,Books,1,17,Desktop
57,Female,31,Electronics,0,10,Desktop
64,Male,7,Electronics,1,10,Tablet
19,Female,36,Books,0,7,Tablet
52,Male,47,Books,1,11,Desktop
50,Male,44,Electronics,0,11,Desktop
56,Male,38,Electronics,1,13,Desktop
58,Male,13,Clothing,1,8,Tablet
31,Female,36,Electronics,0,14,Mobile
22,Female,39,Books,0,14,Tablet
36,Male,36,Electronics,1,1,Mobile
46,Male,47,Electronics,1,5,Desktop
32,Male,8,Books,0,17,Mobile
29,Male,10,Books,1,5,Tablet
50,Female,13,Books,0,16,Mobile
64,Female,40,Clothing,0,9,Desktop
32,Female,5,Books,1,19,Tablet
44,Male,17,Books,0,14,Mobile
27,Female,37,Clothing,0,10,Desktop
59,Female,36,Clothing,0,1,Tablet
25,Male,21,Clothing,1,9,Desktop
56,Male,14,Clothing,0,16,Tablet
37,Male,44,Books,0,12,Desktop
58,Female,27,Clothing,0,10,Desktop
