Industry_Type,Workforce_Size,Annual_Output
Agriculture,135,3070500.1448073606
IT,392,3201344.5320841167
Agriculture,290,1215249.995557707
Manufacturing,250,453900.9721581675
Manufacturing,314,1109749.2086910568
Agriculture,248,2000292.0429291932
Manufacturing,807,4656475.782927807
Agriculture,699,2499202.144113585
Manufacturing,566,3793136.8199324603
Agriculture,482,4012755.103802133
IT,203,4908527.189798254
Manufacturing,829,4529981.751656874
Manufacturing,140,3076591.770593123
IT,350,2666761.4753460246
Agriculture,819,2766132.2716720924
Agriculture,569,1175766.0493832633
Manufacturing,529,3528799.235459311
Manufacturing,490,4247638.015188094
IT,206,2763298.0590850143
Agriculture,549,4151620.4989436893
IT,642,576625.7505926037
IT,84,1351375.6408751344
Manufacturing,177,2389980.197568243
IT,116,923606.200114177
Manufacturing,651,4422762.500638072
Agriculture,689,476305.0410202425
Manufacturing,124,415931.0596158709
IT,861,3919323.3870808175
Manufacturing,172,3184988.9808089607
Agriculture,273,545986.7281443733
IT,902,4884705.035127538
Manufacturing,933,4075856.1525257775
Agriculture,686,1072260.7326951034
Manufacturing,917,2115332.36708093
IT,65,4060453.0240287757
Manufacturing,168,623253.0615802248
Manufacturing,409,1812654.319000391
IT,125,1356030.7510352237
IT,148,809896.7701924144
IT,907,768675.8461876742
IT,902,2545034.758710171
IT,281,2055942.398150861
Agriculture,421,4580394.4985801745
Agriculture,549,2399452.1465138695
IT,89,2543300.114601563
IT,499,2243655.223333764
IT,158,3408804.376681487
Agriculture,308,3943927.527621789
IT,66,3038787.468686495
Agriculture,572,4251423.628364299
Agriculture,453,4702699.351576
Manufacturing,387,3654424.2229146524
Agriculture,569,4674967.690826447
Agriculture,605,155523.08239125862
IT,508,488827.5974634039
IT,677,4124110.8863900388
Agriculture,415,3106015.767380136
IT,474,896373.783859812
IT,611,3201163.362590126
IT,296,4620951.810671019
Agriculture,407,812052.6258940366
IT,790,142022.73022554
Manufacturing,91,868567.5312987741
Agriculture,718,3169900.8566946606
IT,932,390982.0464393731
IT,362,4439380.755515181
Agriculture,530,2907494.413623023
IT,890,1518013.205918499
Manufacturing,696,3181885.043858166
IT,266,2485227.0079795383
Manufacturing,79,1537480.642817138
Agriculture,446,3379382.389438244
Manufacturing,261,492227.1316310407
Agriculture,169,4583156.604811477
Agriculture,581,590325.1948567217
Agriculture,560,1073967.6917058118
IT,201,3654349.7374175983
Agriculture,630,1053860.3787793615
IT,627,3157023.3502360606
Manufacturing,713,2802413.5414687833
Manufacturing,582,3477287.6400683834
IT,476,1409586.960067622
IT,832,2302074.0447501624
Manufacturing,370,4943343.464224953
Manufacturing,616,3345193.82125751
Manufacturing,118,1784234.534867365
Agriculture,964,1459848.7054281519
Agriculture,193,3253747.353447184
IT,755,4474790.208440053
Manufacturing,965,2355107.4953424865
Agriculture,594,288972.08990251715
Manufacturing,536,4328024.184826102
Agriculture,741,829386.6321413796
Manufacturing,310,3512079.5341995275
IT,615,499324.67111255904
Agriculture,525,3020126.1833414785
IT,68,4742530.492143955
IT,59,2005129.0645311102
Manufacturing,291,3759039.607054911
IT,658,1200942.9898861842
