Industry_Type,Workforce_Size,Annual_Output
Manufacturing,921,4677392.407531025
IT,429,3791487.0431160005
IT,925,150748.0315805189
IT,292,4275652.777744018
IT,106,1653102.1542042217
Manufacturing,136,4315955.606685534
IT,551,2373377.7738784077
Agriculture,113,3561964.247457568
IT,767,2428525.7554804245
Agriculture,553,2493829.6507511134
IT,877,1596896.6491087326
Agriculture,423,1274608.706917699
IT,919,4450291.828688355
Agriculture,645,3966057.155811973
Agriculture,307,1318265.095363414
IT,389,2762137.4064569958
Agriculture,553,2336069.990819089
IT,644,3371390.5730537986
Manufacturing,731,2328845.6501881373
IT,791,1944530.541715775
IT,924,4585532.323451585
Manufacturing,905,3969449.2571840268
Manufacturing,334,4087756.9808548125
Manufacturing,268,4115662.6738978694
Manufacturing,336,2809444.9652496492
IT,554,4413483.152547614
Agriculture,906,3186716.3447007476
Agriculture,996,1977445.12275778
Agriculture,908,1418875.9414173926
Agriculture,456,3963256.061409254
IT,78,653750.0327550415
Manufacturing,847,1679768.4816842233
Manufacturing,739,2142927.5438153557
Manufacturing,652,3140549.2661234033
IT,710,4175997.4445042987
IT,534,3543071.0937306318
IT,242,4638376.89674298
Manufacturing,185,4665879.595326766
IT,969,1399873.0309078733
Manufacturing,326,1913971.080545779
Agriculture,359,1953947.2051770359
IT,228,1328309.8570306445
IT,571,498926.36207195837
Manufacturing,809,3056564.0896357987
Manufacturing,413,306746.2361033303
IT,421,315941.82143242395
IT,75,1347103.063377175
IT,441,1348298.6166641114
Manufacturing,734,2146296.357754858
Manufacturing,383,2714086.303280474
IT,428,1801456.4712568806
Manufacturing,675,663195.8144475617
IT,386,3284596.032149638
IT,953,267893.7652613977
IT,705,682771.5939346722
Agriculture,261,1955650.1172619953
Agriculture,667,1495193.127860646
Agriculture,871,1547197.5967252566
Manufacturing,528,3363496.730358532
Manufacturing,275,1198041.7483347445
Agriculture,329,428606.7841174336
Manufacturing,159,476082.3714272438
IT,196,1261581.9377512059
IT,113,2501754.002107656
Agriculture,289,2855338.7677656272
IT,829,4119733.2599297273
IT,622,3696936.995238184
Agriculture,593,1255413.098832098
Manufacturing,601,1678805.7399517356
Agriculture,253,3766975.2289934945
IT,265,2576027.134202127
Manufacturing,907,2857725.265395489
IT,467,4450707.313410175
Manufacturing,480,1542050.4366216157
Manufacturing,746,3896147.396701853
Agriculture,699,1647713.0572884772
Manufacturing,549,1786241.6320321993
Agriculture,181,123667.50309464916
IT,913,3614825.7748604026
IT,597,3281096.981274077
Agriculture,865,395927.25533219427
IT,911,2480395.869196402
IT,346,3273719.8084751135
IT,218,2404935.5526249455
IT,938,2285758.4263971327
Manufacturing,708,4921695.613332344
Manufacturing,340,1502987.2491732324
Agriculture,194,1496959.5648188784
Manufacturing,205,2995858.8030075203
Agriculture,991,1848149.9281213796
Manufacturing,308,275945.3962222617
Agriculture,994,1887105.6934816367
Agriculture,591,3110594.4224672024
Manufacturing,235,3617941.571109017
Manufacturing,265,1817803.8058883338
Agriculture,491,1217669.1569168754
Manufacturing,154,1676248.313948047
Agriculture,102,4133656.5914791874
IT,492,779467.6984049053
Manufacturing,143,3641894.5337279127
